address,phone,email,website
1180 Wien--Dürwaringstraße 59/2/3,No,Yes,No
1010 Wien--Sterngasse 13,Yes,Yes,Yes
1080 Wien--Wickenburggasse 3/Top 9,Yes,Yes,Yes
1080 Wien--Josefstädter Straße 11/I/16,No,No,Yes
4020 Linz--Landstraße 47,Yes,Yes,Yes
1010 Wien--Seilergasse 16,Yes,Yes,Yes
1030 Wien--Ungargasse 4/11,Yes,Yes,Yes
3100 St. Pölten--Riemerplatz 1/2. Stock,Yes,Yes,Yes
4707 Schlüßlberg--Marktplatz 4,Yes,Yes,No
1010 Wien--Rabensteig 1,Yes,Yes,No
1010 Wien--Parkring 2,Yes,Yes,Yes
1010 Wien--Teinfaltstraße 1/11,Yes,Yes,Yes
1030 Wien--Beatrixgasse 3,Yes,Yes,No
8010 Graz--Kaiserfeldgasse 1/2/3,Yes,Yes,Yes
6850 Dornbirn--Messestraße 11,Yes,Yes,Yes
1010 Wien--Seilerstätte 18-20,Yes,Yes,No
1090 Wien--Währinger Straße 26/1/3,Yes,Yes,Yes
2452 Mannersdorf--Hauptstraße 38,Yes,Yes,Yes
1050 Wien--Nikolsdorfergasse 7-11/15,Yes,Yes,No
5020 Salzburg--Moosstraße 58c,Yes,Yes,Yes
6020 Innsbruck--Adamgasse 11,Yes,Yes,No
4560 Kirchdorf/Krems--Schmideggstraße 5,Yes,Yes,Yes
1030 Wien--Am Modenapark 10/10,Yes,Yes,Yes
1010 Wien--Hohenstaufengasse 7,Yes,Yes,Yes
4600 Wels--Pollheimerstraße 15,Yes,Yes,Yes
1010 Wien--Himmelpfortgasse 20/2,Yes,Yes,No
"2000 Stockerau--Schießstattgasse 10, 1. Stock, Top 3",Yes,Yes,No
